station_id,metro_name,state,city,station_name,station_code,line_name,latitude,longitude,opening_year,interchange_station,platform_count,daily_average_footfall,nearby_landmarks,station_category
DEL026,Delhi Metro,Delhi NCR,Delhi,Malviya Nagar,DEL-MAL,Yellow Line,28.548237,77.094623,2004,No,2,84693,Residential colonies & local markets near Malviya Nagar,Residential
DEL027,Delhi Metro,Delhi NCR,Delhi,Saket,DEL-SAK,Yellow Line,28.53415,77.089476,2004,No,2,86633,IT parks & tech offices around Saket,IT Hub
DEL028,Delhi Metro,Delhi NCR,Delhi,Qutab Minar,DEL-QUT,Yellow Line,28.529629,77.086539,2004,No,2,79470,"Shopping district, offices & markets near Qutab Minar",Commercial
DEL029,Delhi Metro,Delhi NCR,Delhi,Chhatarpur,DEL-CHH,Yellow Line,28.522337,77.092188,2004,No,2,61248,Residential colonies & local markets near Chhatarpur,Residential
DEL030,Delhi Metro,Delhi NCR,Delhi,Sultanpur,DEL-SUL,Yellow Line,28.512295,77.088525,2004,No,2,52354,Residential colonies & local markets near Sultanpur,Residential
DEL031,Delhi Metro,Delhi NCR,Delhi,Ghitorni,DEL-GHI,Yellow Line,28.50146,77.082145,2004,No,2,75856,Industrial estate & warehouses near Ghitorni,Industrial Area
DEL032,Delhi Metro,Delhi NCR,Gurugram,Arjan Garh,DEL-ARJ,Yellow Line,28.499945,77.083549,2004,No,2,44823,Residential colonies & local markets near Arjan Garh,Residential
DEL033,Delhi Metro,Delhi NCR,Gurugram,Guru Dronacharya,DEL-GUR,Yellow Line,28.493889,77.082454,2004,No,2,61590,Residential colonies & local markets near Guru Dronacharya,Residential
DEL034,Delhi Metro,Delhi NCR,Gurugram,Sikanderpur,DEL-SIK,Yellow Line,28.482204,77.07624,2004,Yes,4,105735,Residential colonies & local markets near Sikanderpur,Residential
DEL035,Delhi Metro,Delhi NCR,Gurugram,MG Road,DEL-MGR,Yellow Line,28.478453,77.075369,2004,Yes,4,92775,"Shopping district, offices & markets near MG Road",Commercial
DEL036,Delhi Metro,Delhi NCR,Gurugram,IFFCO Chowk,DEL-IFF,Yellow Line,28.46301,77.070253,2004,No,2,77599,IT parks & tech offices around IFFCO Chowk,IT Hub
DEL037,Delhi Metro,Delhi NCR,Gurugram,Huda City Centre,DEL-HUD,Yellow Line,28.456282,77.07414,2004,No,2,52602,"Shopping district, offices & markets near Huda City Centre",Commercial
DEL038,Delhi Metro,Delhi NCR,Delhi,Dwarka Sector 21,DEL-DWA,Blue Line / Airport Express,28.560835,77.083121,2005,Yes,2,273044,"Shopping district, offices & markets near Dwarka Sector 21",Commercial
DEL039,Delhi Metro,Delhi NCR,Delhi,Dwarka Sector 8,DEL-DW2,Blue Line,28.590909,77.05313,2005,No,2,73696,IT parks & tech offices around Dwarka Sector 8,IT Hub
DEL040,Delhi Metro,Delhi NCR,Delhi,Dwarka Sector 9,DEL-DW3,Blue Line,28.594598,77.058168,2005,No,2,118214,IT parks & tech offices around Dwarka Sector 9,IT Hub
DEL041,Delhi Metro,Delhi NCR,Delhi,Dwarka Sector 10,DEL-DW4,Blue Line,28.594011,77.06361,2005,No,2,135170,"Shopping district, offices & markets near Dwarka Sector 10",Commercial
DEL042,Delhi Metro,Delhi NCR,Delhi,Dwarka Sector 11,DEL-DW5,Blue Line,28.591146,77.071266,2005,No,2,43981,Industrial estate & warehouses near Dwarka Sector 11,Industrial Area
DEL043,Delhi Metro,Delhi NCR,Delhi,Dwarka Sector 12,DEL-DW6,Blue Line,28.588235,77.080982,2005,No,2,66498,Residential colonies & local markets near Dwarka Sector 12,Residential
DEL044,Delhi Metro,Delhi NCR,Delhi,Dwarka Sector 13,DEL-DW7,Blue Line,28.590782,77.085997,2005,No,2,148134,"Shopping district, offices & markets near Dwarka Sector 13",Commercial
DEL045,Delhi Metro,Delhi NCR,Delhi,Dwarka Sector 14,DEL-DW8,Blue Line,28.594111,77.094191,2005,No,2,84008,IT parks & tech offices around Dwarka Sector 14,IT Hub
DEL046,Delhi Metro,Delhi NCR,Delhi,Dwarka,DEL-DW9,Blue Line,28.594762,77.098959,2005,No,2,101948,"Shopping district, offices & markets near Dwarka",Commercial
DEL047,Delhi Metro,Delhi NCR,Delhi,Dwarka Mor,DEL-DW10,Blue Line,28.590955,77.105701,2005,No,2,68112,"Colleges, coaching centres & hostels near Dwarka Mor",Educational Zone
DEL048,Delhi Metro,Delhi NCR,Delhi,Nawada,DEL-NAW,Blue Line,28.586535,77.10759,2005,No,2,86662,"Shopping district, offices & markets near Nawada",Commercial
DEL049,Delhi Metro,Delhi NCR,Delhi,Uttam Nagar West,DEL-UTT,Blue Line,28.587815,77.11584,2005,No,2,131828,"Shopping district, offices & markets near Uttam Nagar West",Commercial
DEL050,Delhi Metro,Delhi NCR,Delhi,Uttam Nagar East,DEL-UT2,Blue Line,28.593848,77.122837,2005,No,2,98615,Residential colonies & local markets near Uttam Nagar East,Residential
DEL051,Delhi Metro,Delhi NCR,Delhi,Janakpuri West,DEL-JAN,Blue Line / Magenta Line,28.613038,77.10508,2005,Yes,4,138918,Residential colonies & local markets near Janakpuri West,Residential
DEL052,Delhi Metro,Delhi NCR,Delhi,Janakpuri East,DEL-JA2,Blue Line,28.59121,77.141938,2005,No,2,62407,Residential colonies & local markets near Janakpuri East,Residential
DEL053,Delhi Metro,Delhi NCR,Delhi,Tilak Nagar,DEL-TIL,Blue Line,28.589194,77.145314,2005,No,2,48879,Residential colonies & local markets near Tilak Nagar,Residential
DEL054,Delhi Metro,Delhi NCR,Delhi,Subhash Nagar,DEL-SUB,Blue Line,28.58914,77.151522,2005,No,2,85611,Residential colonies & local markets near Subhash Nagar,Residential
DEL055,Delhi Metro,Delhi NCR,Delhi,Tagore Garden,DEL-TAG,Blue Line,28.59541,77.153338,2005,No,2,113016,Residential colonies & local markets near Tagore Garden,Residential
DEL056,Delhi Metro,Delhi NCR,Delhi,Rajouri Garden,DEL-RA2,Blue Line / Pink Line,28.655967,77.181579,2005,Yes,6,97097,Residential colonies & local markets near Rajouri Garden,Residential
DEL057,Delhi Metro,Delhi NCR,Delhi,Ramesh Nagar,DEL-RAM,Blue Line,28.590398,77.167673,2005,No,2,82771,"Shopping district, offices & markets near Ramesh Nagar",Commercial
DEL058,Delhi Metro,Delhi NCR,Delhi,Moti Nagar,DEL-MOT,Blue Line,28.592734,77.177557,2005,No,2,82225,Residential colonies & local markets near Moti Nagar,Residential
DEL059,Delhi Metro,Delhi NCR,Delhi,Kirti Nagar,DEL-KIR,Blue Line,28.5933,77.186162,2005,Yes,6,192059,Residential colonies & local markets near Kirti Nagar,Residential
DEL060,Delhi Metro,Delhi NCR,Delhi,Shadipur,DEL-SHA,Blue Line,28.598096,77.191923,2005,No,2,74211,Residential colonies & local markets near Shadipur,Residential
DEL061,Delhi Metro,Delhi NCR,Delhi,Patel Nagar,DEL-PA2,Blue Line,28.588912,77.200064,2005,No,2,97010,Residential colonies & local markets near Patel Nagar,Residential
DEL062,Delhi Metro,Delhi NCR,Delhi,Rajendra Place,DEL-RA3,Blue Line,28.593268,77.210869,2005,No,2,50065,Industrial estate & warehouses near Rajendra Place,Industrial Area
DEL063,Delhi Metro,Delhi NCR,Delhi,Karol Bagh,DEL-KAR,Blue Line,28.595425,77.214037,2005,Yes,2,154119,"Shopping district, offices & markets near Karol Bagh",Commercial
DEL064,Delhi Metro,Delhi NCR,Delhi,Jhandewalan,DEL-JHA,Blue Line,28.597628,77.215303,2005,No,2,81690,"Shopping district, offices & markets near Jhandewalan",Commercial
DEL065,Delhi Metro,Delhi NCR,Delhi,RK Ashram Marg,DEL-RKA,Blue Line,28.590271,77.222896,2005,No,2,75171,Residential colonies & local markets near RK Ashram Marg,Residential
DEL066,Delhi Metro,Delhi NCR,Delhi,Barakhamba Road,DEL-BAR,Blue Line,28.594741,77.238712,2005,No,2,101795,IT parks & tech offices around Barakhamba Road,IT Hub
DEL067,Delhi Metro,Delhi NCR,Delhi,Mandi House,DEL-MAN,Blue Line / Violet Line,28.599089,77.239871,2005,Yes,4,136707,Industrial estate & warehouses near Mandi House,Industrial Area
DEL068,Delhi Metro,Delhi NCR,Delhi,Supreme Court,DEL-SUP,Blue Line,28.593624,77.255774,2005,No,2,93338,Residential colonies & local markets near Supreme Court,Residential
DEL069,Delhi Metro,Delhi NCR,Delhi,Indraprastha,DEL-IND,Blue Line,28.599519,77.269715,2005,No,2,112297,Residential colonies & local markets near Indraprastha,Residential
DEL070,Delhi Metro,Delhi NCR,Delhi,Yamuna Bank,DEL-YAM,Blue Line,28.593985,77.262728,2005,Yes,4,98542,Industrial estate & warehouses near Yamuna Bank,Industrial Area
DEL071,Delhi Metro,Delhi NCR,Delhi,Akshardham,DEL-AKS,Blue Line,28.585077,77.273804,2005,No,2,99649,"Shopping district, offices & markets near Akshardham",Commercial
DEL072,Delhi Metro,Delhi NCR,Delhi,Mayur Vihar Phase-1,DEL-MAY,Blue Line / Pink Line,28.646591,77.26547,2005,Yes,2,274696,"Shopping district, offices & markets near Mayur Vihar Phase-1",Commercial
DEL073,Delhi Metro,Delhi NCR,Delhi,Mayur Vihar Extension,DEL-MA2,Blue Line,28.590405,77.285726,2005,No,2,127856,"Shopping district, offices & markets near Mayur Vihar Extension",Commercial
DEL074,Delhi Metro,Delhi NCR,Delhi,New Ashok Nagar,DEL-NE2,Blue Line,28.596282,77.293444,2005,No,2,124578,IT parks & tech offices around New Ashok Nagar,IT Hub
DEL075,Delhi Metro,Delhi NCR,Noida,Noida Sector 15,DEL-NOI,Blue Line,28.592,77.295945,2005,No,2,38608,IT parks & tech offices around Noida Sector 15,IT Hub
DEL076,Delhi Metro,Delhi NCR,Noida,Noida Sector 16,DEL-NO2,Blue Line,28.586698,77.304543,2005,No,2,43417,Residential colonies & local markets near Noida Sector 16,Residential
DEL077,Delhi Metro,Delhi NCR,Noida,Noida Sector 18,DEL-NO3,Blue Line,28.592375,77.319108,2005,No,2,33878,Residential colonies & local markets near Noida Sector 18,Residential
DEL078,Delhi Metro,Delhi NCR,Noida,Botanical Garden,DEL-BOT,Blue Line / Magenta Line,28.575944,77.331101,2005,Yes,2,63339,Residential colonies & local markets near Botanical Garden,Residential
DEL079,Delhi Metro,Delhi NCR,Noida,Golf Course,DEL-GOL,Blue Line,28.590824,77.322124,2005,No,2,43260,Residential colonies & local markets near Golf Course,Residential
DEL080,Delhi Metro,Delhi NCR,Noida,Noida City Centre,DEL-NO4,Blue Line,28.589198,77.330409,2005,No,2,37045,Residential colonies & local markets near Noida City Centre,Residential
DEL081,Delhi Metro,Delhi NCR,Noida,Noida Sector 34,DEL-NO5,Blue Line,28.600029,77.336748,2005,No,2,37958,Industrial estate & warehouses near Noida Sector 34,Industrial Area
DEL082,Delhi Metro,Delhi NCR,Noida,Noida Sector 52,DEL-NO6,Blue Line,28.595518,77.343138,2005,No,2,52512,"Colleges, coaching centres & hostels near Noida Sector 52",Educational Zone
DEL083,Delhi Metro,Delhi NCR,Noida,Noida Sector 61,DEL-NO7,Blue Line,28.595848,77.354321,2005,No,2,55338,Residential colonies & local markets near Noida Sector 61,Residential
DEL084,Delhi Metro,Delhi NCR,Noida,Noida Sector 59,DEL-NO8,Blue Line,28.592044,77.359506,2005,No,2,48281,"Shopping district, offices & markets near Noida Sector 59",Commercial
DEL085,Delhi Metro,Delhi NCR,Noida,Noida Sector 62,DEL-NO9,Blue Line,28.590304,77.367886,2005,No,2,36500,Residential colonies & local markets near Noida Sector 62,Residential
DEL086,Delhi Metro,Delhi NCR,Noida,Noida Electronic City,DEL-NO10,Blue Line,28.591008,77.36871,2005,No,2,45755,IT parks & tech offices around Noida Electronic City,IT Hub
DEL087,Delhi Metro,Delhi NCR,Delhi,Rithala,DEL-RIT,Red Line,28.716127,77.107504,2002,No,2,50978,"Colleges, coaching centres & hostels near Rithala",Educational Zone
DEL088,Delhi Metro,Delhi NCR,Delhi,Rohini West,DEL-RO2,Red Line,28.724748,77.119821,2002,No,2,146344,"Shopping district, offices & markets near Rohini West",Commercial
DEL089,Delhi Metro,Delhi NCR,Delhi,Rohini East,DEL-RO3,Red Line,28.717428,77.132622,2002,No,2,74652,Residential colonies & local markets near Rohini East,Residential
DEL090,Delhi Metro,Delhi NCR,Delhi,Pitampura,DEL-PIT,Red Line,28.721035,77.14475,2002,No,2,63159,Residential colonies & local markets near Pitampura,Residential
DEL091,Delhi Metro,Delhi NCR,Delhi,Kohat Enclave,DEL-KOH,Red Line,28.713647,77.160215,2002,No,2,137952,"Shopping district, offices & markets near Kohat Enclave",Commercial
DEL092,Delhi Metro,Delhi NCR,Delhi,Netaji Subhash Place,DEL-NET,Red Line / Pink Line,28.719095,77.174458,2002,Yes,4,141488,Residential colonies & local markets near Netaji Subhash Place,Residential
DEL093,Delhi Metro,Delhi NCR,Delhi,Keshav Puram,DEL-KES,Red Line,28.71297,77.176779,2002,No,2,78791,"Shopping district, offices & markets near Keshav Puram",Commercial
DEL094,Delhi Metro,Delhi NCR,Delhi,Kanhaiya Nagar,DEL-KAN,Red Line,28.706161,77.199203,2002,No,2,80020,"Colleges, coaching centres & hostels near Kanhaiya Nagar",Educational Zone
DEL095,Delhi Metro,Delhi NCR,Delhi,Inderlok,DEL-IN2,Red Line / Green Line,28.695458,77.18159,2002,Yes,2,188731,Residential colonies & local markets near Inderlok,Residential
DEL096,Delhi Metro,Delhi NCR,Delhi,Shastri Nagar,DEL-SH2,Red Line,28.706852,77.223261,2002,No,2,62268,Residential colonies & local markets near Shastri Nagar,Residential
DEL097,Delhi Metro,Delhi NCR,Delhi,Pratap Nagar,DEL-PRA,Red Line,28.70294,77.227376,2002,No,2,74432,Industrial estate & warehouses near Pratap Nagar,Industrial Area
DEL098,Delhi Metro,Delhi NCR,Delhi,Pulbangash,DEL-PUL,Red Line,28.707687,77.241487,2002,No,2,138326,"Shopping district, offices & markets near Pulbangash",Commercial
DEL099,Delhi Metro,Delhi NCR,Delhi,Tis Hazari,DEL-TIS,Red Line,28.704039,77.254657,2002,No,2,103575,Residential colonies & local markets near Tis Hazari,Residential
DEL100,Delhi Metro,Delhi NCR,Delhi,Shastri Park,DEL-SH3,Red Line,28.701617,77.282204,2002,No,2,63352,Residential colonies & local markets near Shastri Park,Residential
DEL101,Delhi Metro,Delhi NCR,Delhi,Seelampur,DEL-SEE,Red Line,28.692746,77.29214,2002,No,2,51874,Residential colonies & local markets near Seelampur,Residential
DEL102,Delhi Metro,Delhi NCR,Delhi,Welcome,DEL-WEL,Red Line / Pink Line,28.694662,77.299806,2002,Yes,4,265516,"Shopping district, offices & markets near Welcome",Commercial
DEL103,Delhi Metro,Delhi NCR,Delhi,Shahdara,DEL-SH4,Red Line,28.694091,77.315863,2002,No,2,113346,IT parks & tech offices around Shahdara,IT Hub
DEL104,Delhi Metro,Delhi NCR,Delhi,Mansarovar Park,DEL-MA3,Red Line,28.698991,77.32475,2002,No,2,130461,"Shopping district, offices & markets near Mansarovar Park",Commercial
DEL105,Delhi Metro,Delhi NCR,Delhi,Jhilmil,DEL-JHI,Red Line,28.694514,77.340059,2002,No,2,56913,Residential colonies & local markets near Jhilmil,Residential
DEL106,Delhi Metro,Delhi NCR,Delhi,Dilshad Garden,DEL-DIL,Red Line,28.691882,77.357624,2002,No,2,99198,Residential colonies & local markets near Dilshad Garden,Residential
DEL107,Delhi Metro,Delhi NCR,Ghaziabad,Shaheed Nagar,DEL-SH5,Red Line,28.693533,77.371156,2002,No,2,31657,Industrial estate & warehouses near Shaheed Nagar,Industrial Area
DEL108,Delhi Metro,Delhi NCR,Ghaziabad,Raj Bagh,DEL-RA4,Red Line,28.689731,77.3764,2002,No,2,53647,"Shopping district, offices & markets near Raj Bagh",Commercial
DEL109,Delhi Metro,Delhi NCR,Ghaziabad,Major Mohit Sharma,DEL-MAJ,Red Line,28.688109,77.392045,2002,No,2,22333,Industrial estate & warehouses near Major Mohit Sharma,Industrial Area
DEL110,Delhi Metro,Delhi NCR,Ghaziabad,Shyam Park,DEL-SHY,Red Line,28.688132,77.399762,2002,No,2,39352,"Colleges, coaching centres & hostels near Shyam Park",Educational Zone
DEL111,Delhi Metro,Delhi NCR,Ghaziabad,Mohan Nagar,DEL-MOH,Red Line,28.686452,77.416717,2002,No,2,34767,Residential colonies & local markets near Mohan Nagar,Residential
DEL112,Delhi Metro,Delhi NCR,Ghaziabad,Arthala,DEL-ART,Red Line,28.693568,77.434848,2002,No,2,51982,IT parks & tech offices around Arthala,IT Hub
DEL113,Delhi Metro,Delhi NCR,Ghaziabad,Hindon River,DEL-HIN,Red Line,28.680392,77.439633,2002,No,2,56990,"Shopping district, offices & markets near Hindon River",Commercial
DEL114,Delhi Metro,Delhi NCR,Ghaziabad,Shaheed Sthal,DEL-SH6,Red Line,28.676878,77.450933,2002,No,2,54408,"Shopping district, offices & markets near Shaheed Sthal",Commercial
DEL115,Delhi Metro,Delhi NCR,Delhi,Lal Qila,DEL-LAL,Violet Line,28.654839,77.228644,2010,No,2,67252,Residential colonies & local markets near Lal Qila,Residential
DEL116,Delhi Metro,Delhi NCR,Delhi,Jama Masjid,DEL-JAM,Violet Line,28.639766,77.233197,2010,No,2,74981,"Shopping district, offices & markets near Jama Masjid",Commercial
DEL117,Delhi Metro,Delhi NCR,Delhi,Delhi Gate,DEL-DEL,Violet Line,28.633454,77.234747,2010,No,2,64044,Residential colonies & local markets near Delhi Gate,Residential
DEL118,Delhi Metro,Delhi NCR,Delhi,ITO,DEL-ITO,Violet Line,28.623995,77.239103,2010,No,2,108248,"Shopping district, offices & markets near ITO",Commercial
DEL119,Delhi Metro,Delhi NCR,Delhi,Janpath,DEL-JA3,Violet Line,28.614298,77.240594,2010,No,2,108455,"Shopping district, offices & markets near Janpath",Commercial
DEL120,Delhi Metro,Delhi NCR,Delhi,Khan Market,DEL-KHA,Violet Line,28.596795,77.246666,2010,No,2,115140,"Shopping district, offices & markets near Khan Market",Commercial
DEL121,Delhi Metro,Delhi NCR,Delhi,Jawaharlal Nehru Stadium,DEL-JAW,Violet Line,28.575229,77.254795,2010,No,2,65957,"Colleges, coaching centres & hostels near Jawaharlal Nehru Stadium",Educational Zone
DEL122,Delhi Metro,Delhi NCR,Delhi,Jangpura,DEL-JA4,Violet Line,28.57246,77.252979,2010,No,2,68606,Industrial estate & warehouses near Jangpura,Industrial Area
DEL123,Delhi Metro,Delhi NCR,Delhi,Lajpat Nagar,DEL-LAJ,Violet Line / Pink Line,28.629378,77.246631,2010,Yes,4,182015,"Colleges, coaching centres & hostels near Lajpat Nagar",Educational Zone
DEL124,Delhi Metro,Delhi NCR,Delhi,Moolchand,DEL-MOO,Violet Line,28.547713,77.260783,2010,No,2,64587,Residential colonies & local markets near Moolchand,Residential
DEL125,Delhi Metro,Delhi NCR,Delhi,Kailash Colony,DEL-KAI,Violet Line,28.535613,77.260121,2010,No,2,128435,"Shopping district, offices & markets near Kailash Colony",Commercial
DEL126,Delhi Metro,Delhi NCR,Delhi,Nehru Place,DEL-NEH,Violet Line,28.525139,77.266834,2010,No,2,92532,Residential colonies & local markets near Nehru Place,Residential
DEL127,Delhi Metro,Delhi NCR,Delhi,Kalkaji Mandir,DEL-KAL,Violet Line / Magenta Line,28.550065,77.256938,2010,Yes,6,107978,Industrial estate & warehouses near Kalkaji Mandir,Industrial Area
DEL128,Delhi Metro,Delhi NCR,Delhi,Govind Puri,DEL-GOV,Violet Line,28.507405,77.276978,2010,No,2,89005,"Colleges, coaching centres & hostels near Govind Puri",Educational Zone
DEL129,Delhi Metro,Delhi NCR,Delhi,Harkesh Nagar Okhla,DEL-HAR,Violet Line,28.496189,77.277498,2010,No,2,98532,"Colleges, coaching centres & hostels near Harkesh Nagar Okhla",Educational Zone
DEL130,Delhi Metro,Delhi NCR,Delhi,Jasola Apollo,DEL-JAS,Violet Line,28.485722,77.2791,2010,No,2,95374,Residential colonies & local markets near Jasola Apollo,Residential
DEL131,Delhi Metro,Delhi NCR,Delhi,Sarita Vihar,DEL-SAR,Violet Line,28.472902,77.283041,2010,No,2,144103,"Shopping district, offices & markets near Sarita Vihar",Commercial
DEL132,Delhi Metro,Delhi NCR,Delhi,Mohan Estate,DEL-MO2,Violet Line,28.464978,77.292093,2010,No,2,149833,"Shopping district, offices & markets near Mohan Estate",Commercial
DEL133,Delhi Metro,Delhi NCR,Delhi,Tughlakabad,DEL-TUG,Violet Line,28.460716,77.28895,2010,No,2,71412,Residential colonies & local markets near Tughlakabad,Residential
DEL134,Delhi Metro,Delhi NCR,Delhi,Badarpur Border,DEL-BAD,Violet Line,28.442429,77.28654,2010,No,2,114944,IT parks & tech offices around Badarpur Border,IT Hub
DEL135,Delhi Metro,Delhi NCR,Faridabad,Sarai,DEL-SA2,Violet Line,28.43916,77.294186,2010,No,2,42299,"Shopping district, offices & markets near Sarai",Commercial
DEL136,Delhi Metro,Delhi NCR,Faridabad,NHPC Chowk,DEL-NHP,Violet Line,28.426562,77.289994,2010,No,2,57517,IT parks & tech offices around NHPC Chowk,IT Hub
DEL137,Delhi Metro,Delhi NCR,Faridabad,Mewala Maharajpur,DEL-MEW,Violet Line,28.418019,77.300524,2010,No,2,29161,"Shopping district, offices & markets near Mewala Maharajpur",Commercial
DEL138,Delhi Metro,Delhi NCR,Faridabad,Sector 28 Faridabad,DEL-SEC,Violet Line,28.400777,77.300116,2010,No,2,30128,Residential colonies & local markets near Sector 28 Faridabad,Residential
DEL139,Delhi Metro,Delhi NCR,Faridabad,Badkal Mor,DEL-BA2,Violet Line,28.395478,77.304784,2010,No,2,42133,Residential colonies & local markets near Badkal Mor,Residential
DEL140,Delhi Metro,Delhi NCR,Faridabad,Old Faridabad,DEL-OLD,Violet Line,28.383423,77.307071,2010,No,2,26802,Residential colonies & local markets near Old Faridabad,Residential
DEL141,Delhi Metro,Delhi NCR,Faridabad,Neelam Chowk Ajronda,DEL-NEE,Violet Line,28.373454,77.310801,2010,No,2,35430,"Colleges, coaching centres & hostels near Neelam Chowk Ajronda",Educational Zone
DEL142,Delhi Metro,Delhi NCR,Faridabad,Bata Chowk,DEL-BAT,Violet Line,28.369377,77.304117,2010,No,2,26099,"Colleges, coaching centres & hostels near Bata Chowk",Educational Zone
DEL143,Delhi Metro,Delhi NCR,Faridabad,Escorts Mujesar,DEL-ESC,Violet Line,28.353289,77.316551,2010,No,2,57296,IT parks & tech offices around Escorts Mujesar,IT Hub
DEL144,Delhi Metro,Delhi NCR,Faridabad,Sant Surdas Sihi,DEL-SAN,Violet Line,28.345045,77.317465,2010,No,2,42341,Residential colonies & local markets near Sant Surdas Sihi,Residential
